es,fr,notes
encaje,plongement,Krivine canonical
encaje completo,plongement complet,
encaje denso,plongement dense,
orden parcial,ordre partiel,
preorden,préordre,
orden parcial antisimétrico,ordre partiel antisymétrique,
noción de forcing,notion de forcing,
elemento máximo,élément maximum,
condición,condition,
extensión,extension,
extensión común,extension commune,
compatible,compatible,
incompatible,incompatible,
anticadena,antichaîne,
anticadena maximal,antichaîne maximale,
anticadena trivial,antichaîne triviale,
denso,dense,
subconjunto denso,sous-ensemble dense / partie dense,
denso por debajo de,dense en dessous de,
filtro,filtre,
filtro genérico,filtre générique,
filtro (V P)-genérico,filtre (V P)-générique,
modelo base,modèle de base,
modelo transitivo numerable,modèle transitif dénombrable,
relativización,relativisation,
absoluta (noción),absolue (notion),
P-nombre,P-nom,
nombre canónico,nom canonique,
valuación,valuation,Krivine canonical
extensión genérica,extension générique,
no atómico,sans atome,Krivine canonical; 'non atomique' also acceptable
sin átomos,sans atome,
forzar (verbo),forcer,p force phi
relación de forzar,relation de forcing,
forcing de Cohen,forcing de Cohen,
real de Cohen,réel de Cohen,
añadir un real de Cohen,ajouter un réel de Cohen,
suborden,sous-ordre,
isomorfismo,isomorphisme,
biyección / biyectiva,bijection / bijective,
preservar el orden,préserver l'ordre,
Axioma de Buena Fundación,Axiome de Fondation,
Axioma de Regularidad,Axiome de Régularité,
Lema de Zorn,Lemme de Zorn,
cardinal regular,cardinal régulier,
iteración con soportes contables,itération à support dénombrable,Phase B-2 vocabulary
extensión propia,extension propre,
hipótesis del continuo,hypothèse du continu,
composición de nociones de forcing,composition de notions de forcing,
